Disease,Symptoms
Acne,Blackheads
Acne,pimples
Acne,sebaceous cysts
Acne,scars
Anaemia,Weakness
Anaemia,Dizziness
Anaemia,Fatigue
Anaemia,Quick exhaustion
Anaemia,Premature wrinkles
Anaemia,Failing memory
Anaemia,Shortness of breath
Anaemia, palpitation
Anaemia,Headache
Anaemia,slow healing of wounds
Anorexia,Insomnia
Anorexia,Refusing to eat
Anxiety,Inability to relax
Anxiety,Headache
Anxiety,Sleeplessness
Anxiety,Heart palpitations
Anxiety,Belching
Anxiety,Nausea
Anxiety,Occasional diarrhea
Anxiety,Emotional instability
Anxiety,Petulancy
Anxiety,Cry often
Acidity,Respiratory problems.
Acidity,inadequate weight.
Acidity,vomiting.
Acidity,coughing.
Acidity,Heart burn
Acidity,Stomach ache
Acidity,chest pain
Acidity,gas formation
Acidity,avoiding food
Alzeimer's disease,Difficulty performing tasks
Alzeimer's disease,Getting lost on familiar routes
Alzeimer's disease,Language problems
Alzeimer's disease,flat mood
Alzeimer's disease,Misplacing items
Alzeimer's disease,Personality changes
Alzeimer's disease,loss of social skills
Alzeimer's disease,Apathy
Bronchitis,Gasping for breath
Bronchitis,Difficult breathing out
Bronchitis,nasal congestion
Bronchitis,sneezing
Backache,Severe constant pain
Backache,Difficulty in bending forward
Backache,aggravation due to jerk
Backache,incapacitation
Backache,Sore and sensitive
Boils,Painful red nodule
Boils,Irritation of skin
Boils,Itching
Boils,fever
Boils,Pus discharge
Baldness, acute fever
Baldness, myxodema 
Baldness,syphilis
Baldness,influenza
Baldness,anaemia
Baldness,nervous shock
Baldness,hereditary baldness
Baldness,eczema
Baldness,psoriasis of scalp
Bleeding Gum,Bad Breath
Bleeding Gum,Bleeding while brushing
Bleeding Gum,Blood in saliva
Bleeding Gum,Bleeding while spitting
Bleeding Gum,Bleeding while eating
Constipation,Infrequencyin eliminating faucal matter
Constipation,Coated tongue
Constipation,Foul breath
Constipation,Loss of appetite
Constipation,Headache
Constipation,Dizziness
Constipation,Dark circles
Constipation,Depression
Constipation,Nausea
Constipation,pimples
Constipation,Mouth ulcers
Constipation,Diarrhoea alternating with constipation
Constipation,Varicose veins
Constipation,Pain in the lumbar region
Constipation,Acidity
Constipation,Heart burn
Constipation,Insomnia
Common cold and cough,Sneezing
Common cold and cough,coughing
Common cold and cough,running nose
Common cold and cough,heaviness of head 
Common cold and cough,body aches
Common cold and cough,Loss of appetite
Common cold and cough,inflammation of nose mucus membrane
Colitis,urgency to move the bowel
Colitis,cramping pains in the abdomen
Colitis,bloody mucous in the stool
Cystitis, burning sensation on passing urine
Cystitis,pelvis pain
Cystitis,lower abdomen pain
Cystitis,unpleasant smell of urine
Cystitis,blood in urine
Cystitis,pus in urine
Cystitis,thick and dark urine
Cystitis,lower back pain
Cystitis,rise in body temperature
Cervical Spondylosis,Neck pain
Cervical Spondylosis,pain in arms
Cervical Spondylosis,shoulder pain
Cervical Spondylosis,stiffness of neck
Cervical Spondylosis,paraplegia
Chicken Pox,Rash in body and face
Chicken Pox,rash in limbs
Chicken Pox,Itchy rashes
Chicken Pox,Blisters
Chicken Pox,scabs
Chicken Pox,dark red spots
Chicken Pox,high temperature
Conjuctivitis,Discomfort in the eyes
Conjuctivitis,Redness of the eyes 
Conjuctivitis,Photophobia
Conjuctivitis,foreign body sensation in the eyes
Diabetus Mellitus,Hunger and thirst
Diabetus Mellitus,Weight loss
Diabetus Mellitus,Quick exhaustion
Diabetus Mellitus, anaemia
Diabetus Mellitus,Slow healing of wounds.
Diabetus Mellitus,Drowsiness
Diabetus Mellitus,Low sexual urge
Diabetus Mellitus,constipation
Diabetus Mellitus,palpitation
Diabetus Mellitus,itching around genital organs
Cramps,Muscle fatigue
Cramps,muscle pull
Cramps,dehydration
Dyspepsia,Abdominal pain
Dyspepsia,fullness after eating
Dyspepsia,Heart burn
Dyspepsia,Loss of appetite
Dyspepsia,Nausea
Dyspepsia,vomiting
Dyspepsia,flatulence
Dyspepsia,gas
Dyspepsia,Coated tongue
Dyspepsia,Foul breath
Dyspepsia,strangling in throat
Dyspepsia,indigestion
Dyspepsia,constipation
Dysentery,Abdominal pain
Dysentery,diarrhoea with blood
Dysentery,diarrhoea with mucus
Dysentery,fever
Dysentery,Loss of appetite
Dysentery,Sleeplessness
Dysentery,restless
Dysentery,great thirst
Dysentery,red tongue
Dysentery,straining ceases
Dysentery,infrequent urine passage
Dysentery,low pulse
Dysentery,pale look
Dandruff,itching
Dandruff,scales fall like snowflakes
Dandruff,lumps on scalp
Dandruff,red on scratching
Depression,inexplicable sadness
Depression,loss of energy
Depression,Fatigue
Depression,disturbed sleep
Depression,Loss of appetite
Depression,Nausea
Depression,itching
Depression,giddiness
Depression,irritability
Depression,agitation
Depression,impotence
Depression,constipation
Depression,lack of concentration
Depression,indecisiveness
Depression,pain in the body
Epilepsy,momentary loss of consciousness 
Epilepsy,violent convulsions
Epilepsy,twitching of muscles
Epilepsy,biting the tongue
Epilepsy,distorted fixation of limbs
Epilepsy,rotation of the head
Epilepsy,deviation of eyes
Eczema,Redness and swelling
Eczema,large blisters
Eczema,Exudation and cracking.
Eczema,Scaling.
Eczema,Lichenification
