rownum,Disease,Medication,Herb
1,Acidity,"  Ayucid , Avipatrikar Churna, Lavanbhaskar Churna, Amla Capsule ","Yastimadhu ,Amla,Lavanga,Black Pepper"
2,Acne,"   Neem Guard Capsule , Surakta Syrup, Neem Guard Soap, Mahamanjisthadyarishta","Cinnamom, Sandalwood, Turmeric for local application,Neem,Giloy"
3,Alzeimer's disease,"Stress Guard Capsule, Nightzz Capsule , Tagar Powder, Ashwagandha capsule, Saraswat Churna",Nil
4,Anaemia,"  Lauh Bhasma,Lohasava, Dhatri Lauh  ","Amla,Punarnava,Aloe vera"
5,Anorexia,"Agnitundi Bati,Kshudhakari Bati, Amalki Rasayan     ","Lime,Ginger,Garlic,Apple,Orange"
6,Anxiety,"Anti Stress Massage Oil, Stress Guard, Shankhapushpi Sharbat    ",Nil
7,Backache," Mahayograj Guggulu, Vatgajankush Ras,  Rhumartho Gold, Rhuma Oil ","Lahsun (Garlic), Lemon, Vitamin C, Potato"
8,Baldness,"Arogyavardhini Plus , Mahabhringraj Taila ",Nil
9,Bleeding Gum,"Red Tooth Paste, Red Tooth Powder, Irimedadi Taila",Nil
10,Boils,"Neem Guard , Surakta Syrup, Arogyavardhini Bati ","Garlic, Onion,Betel leaves,Cumin seeds,Neem leaves,Turmeric"
11,Bronchitis,"Vasavaleha, Kantakaryavaleha, Kankasava ","Tulsi, Vasak"
12,Cervical Spondylosis,"Yograj Guggulu, Rumartho Gold Capsule, Mahanarayan oil ,Rhuma Oil ",Nil
13,Chicken Pox,Swarnamakshika Bhasma  ,Nil
14,Colitis," Amoebica Tablet,Isabbael (H), Kutjarishta","Banana,Tender coconut,Rice,Wheat grass"
15,Common cold and cough,"Chyawanprash Special , Kasamrit (Herbal) , Laxmivilas Ras (Kas), Prawal Pishti ","Vasaka,Garlic,Ginger,Basil"
16,Conjuctivitis," Saptamrit lauh, Maha Tripha ghrita, Arogyavardhini bati","Guduchi (Tinospora cordifolia),Amla (Emblica Officinalis),Haritaki (Terminalia chebula), Baheda, (Terminalia Belerica), Nirmali (Strychnos potatorum)"
17,Constipation,"  Kabjahar  ,Triphala churna","Hartaki (Terminalia chebula),Isabgole (Plantago ovata),Sennaleaves (Cassia angustifolia), Nisoth (Ipomoea turpethum)"
18,Cramps,"Mahanarayan oil, Arth plus,  Rumarhto Gold",Nil
19,Cystitis,"Chandanasava,Chandanbala laxadi oil,Chandraprabha Bati","Cucumber juice,Radish Leaves, Spinach, Sandalwood Oil"
20,Dandruff,"Amla Capsules, Guduchyadi Taila (Oil)","Fenugreek seeds,Lime,Green Gram Powder,Snake gourd"
21,Depression,"Stress Guard, Brahmi Bati (S.yu), Ashwagandharishta, Sarswatarishta","Apple,Cashewnut,Asparagus,Cardamom,Rose"
22,Diabetus Mellitus," Diabet Guard, Madhumehari Granules, Karela Capsules ","Neem (Azadirachta indica),Gurmar Leaves (Gymnema sylvestrae),Karela (Momordica charantia), Nayantatra (Vinca rosa)"
23,Dysentery," Isabbael (H) , Lashunadi Bati ,Bhuwaneshar Ras ","Babul,Arjuna,Bael Fruit,Cuminseed"
24,Dyspepsia,"  Arogyavardhini Bati,  Liverole Strong","Lemon,Grapes,Carrot,Fenugreek"
25,Eczema,"Neem Guard, Surakta Syrup, Raktasodhak Bati, Rasamanikaya ","Babul,Butea,Linseed,Madhuca"
26,Enlarge prostate,"Prostaid, Gokshuradi Guggulu, Chandraprabha Bati , Shilajeet Tablet",Nil
27,Eosinophilia,"Chyawanprash special, Sitopaladi Churna","Kapur Kachri,Turmeric ( Curcuma longa), Mulethi ( Licorice), Bharangi ( Clerodendron serratum), Pippali ( Piper longum)"
28,Epilepsy,"Brahmi Bati(S.M.Yu) , Sarswat Churna ,Brahmi Ghrita","Brahmi (Bacopa monniera),Shankha Pushpi (Evolvulus alsinoides),Malkagni (Celastrus paniculatus), Jatamansi (Nardastachys jatamansi)"
29,Fatigue,"Kesari Kalp Royale , Musli pak, Drakshasava(Special)","Vitamin B,Dates,Lemon balm"
30,Female infertility,"Supari Pak, Leuconil ,Shatavari Capsule, Sundari Sakhi","Supari (Betel Nut), Shatavari (Asparagus racemosus ), Ashwagandha (Withania somnifera ), Gotu Kola (Centella Asiatica),  Ashoka (Saraca Indica),  Lodhra (Symplocos racemosa), Ghrit Kumari (Aloe Vera ) "
31,Fever,"Mahalaxmivilas Ras Vrihat(S.Yu) , Anand Bhairav Ras(Jwar)","Holy Basil,Fenugreek,Saffron,Raisins,Apricot,Grapefruit,Orange,Bloodworm"
32,Flatulence," Gaisantak Bati ,  Hingwastak Churna, Ajwain Ark","Ginger (Zingiber officinalae), Hing (Asfoetida)"
33,Flu,"Immune Guard capsules, Laxhmivilas Ras 
","Holy Basil,Turmeric,Saffron,Cinnamon,Clove,Black pepper"
34,Gas,"Gas Guard, Gaisantak Bati, Ajwain Ark,Hingwastak Churna","Ajwain (Carum copticum), Amla (Phyllanthus emblica), Adrak (Zingiber officinale), Lavanga (Syzygium aromaticum - Clove), Black pepper (Piper nigrum) "
